institution_id,UNITID,school_id,gss_code,year,Institution_Name,hdg_inst,toc_code,institution_state,hbcu_flag,land_grant_flag,carnegie_code_1994,carnegie_code_2005,carnegie_code_2010,carnegie_code_2015,full_school_name,school_name,school_zip,school_type_code,hdg_code,ft_tot_all_races_v,ft_tot_forgn_v,ft_tot_hisp_v,ft_tot_indian_v,ft_tot_asian_v,ft_tot_black_v,ft_tot_pacific_v,ft_tot_white_v,ft_tot_multi_non_hisp_v,ft_tot_asian_pi_98_v,ft_tot_other_98_v,ft_tot_unknown_v,ft_men_all_races_v,ft_men_forgn_v,ft_men_hisp_v,ft_men_indian_v,ft_men_asian_v,ft_men_black_v,ft_men_pacific_v,ft_men_white_v,ft_men_multi_non_hisp_v,ft_men_asian_pi_98_v,ft_men_other_98_v,ft_men_unknown_v,ft_wmen_all_races_v,ft_wmen_forgn_v,ft_wmen_hisp_v,ft_wmen_indian_v,ft_wmen_asian_v,ft_wmen_black_v,ft_wmen_pacific_v,ft_wmen_white_v,ft_wmen_multi_non_hisp_v,ft_wmen_asian_pi_98_v,ft_wmen_other_98_v,ft_wmen_unknown_v,ft_frst_tot_all_races_v,ft_frst_tot_forgn_v,ft_frst_tot_hisp_v,ft_frst_tot_indian_v,ft_frst_tot_asian_v,ft_frst_tot_black_v,ft_frst_tot_pacific_v,ft_frst_tot_white_v,ft_frst_tot_multi_non_hisp_v,ft_frst_tot_unknown_v,ft_frst_men_all_races_v,ft_frst_men_forgn_v,ft_frst_men_hisp_v,ft_frst_men_indian_v,ft_frst_men_asian_v,ft_frst_men_black_v,ft_frst_men_pacific_v,ft_frst_men_white_v,ft_frst_men_multi_non_hisp_v,ft_frst_men_unknown_v,ft_frst_wmen_all_races_v,ft_frst_wmen_forgn_v,ft_frst_wmen_hisp_v,ft_frst_wmen_indian_v,ft_frst_wmen_asian_v,ft_frst_wmen_black_v,ft_frst_wmen_pacific_v,ft_frst_wmen_white_v,ft_frst_wmen_multi_non_hisp_v,ft_frst_wmen_unknown_v
1069,139755,1294,107,1990,Georgia Institute of Technology,1,1,GA,0,0,R1,15,15,15,Georgia Institute of Technology,Graduate School,,G,1,19,11,0,0,,0,,8,,0,,0,14,,,,,,,,,,,,5,,,,,,,,,,,,3,,,,,,,,,,3,,,,,,,,,,0,,,,,,,,,
1069,139755,1294,108,1990,Georgia Institute of Technology,1,1,GA,0,0,R1,15,15,15,Georgia Institute of Technology,Graduate School,,G,1,364,118,18,0,,17,,201,,10,,0,270,,,,,,,,,,,,94,,,,,,,,,,,,166,,,,,,,,,,114,,,,,,,,,,52,,,,,,,,,
1069,139755,1294,109,1990,Georgia Institute of Technology,1,1,GA,0,0,R1,15,15,15,Georgia Institute of Technology,Graduate School,,G,1,220,72,3,0,,16,,125,,4,,0,193,,,,,,,,,,,,27,,,,,,,,,,,,77,,,,,,,,,,65,,,,,,,,,,12,,,,,,,,,
1069,139755,1294,110,1990,Georgia Institute of Technology,1,1,GA,0,0,R1,15,15,15,Georgia Institute of Technology,Graduate School,,G,1,47,16,2,0,,0,,28,,1,,0,38,,,,,,,,,,,,9,,,,,,,,,,,,13,,,,,,,,,,9,,,,,,,,,,4,,,,,,,,,
1069,139755,1294,112,1990,Georgia Institute of Technology,1,1,GA,0,0,R1,15,15,15,Georgia Institute of Technology,Graduate School,,G,1,49,22,3,0,,1,,23,,0,,0,40,,,,,,,,,,,,9,,,,,,,,,,,,32,,,,,,,,,,23,,,,,,,,,,9,,,,,,,,,
1069,139755,1294,114,1990,Georgia Institute of Technology,1,1,GA,0,0,R1,15,15,15,Georgia Institute of Technology,Graduate School,,G,1,46,23,0,0,,4,,14,,5,,0,35,,,,,,,,,,,,11,,,,,,,,,,,,20,,,,,,,,,,14,,,,,,,,,,6,,,,,,,,,
1069,139755,1294,202,1990,Georgia Institute of Technology,1,1,GA,0,0,R1,15,15,15,Georgia Institute of Technology,Graduate School,,G,1,103,37,3,1,,4,,56,,2,,0,63,,,,,,,,,,,,40,,,,,,,,,,,,23,,,,,,,,,,12,,,,,,,,,,11,,,,,,,,,
1069,139755,1294,203,1990,Georgia Institute of Technology,1,1,GA,0,0,R1,15,15,15,Georgia Institute of Technology,Graduate School,,G,1,87,33,1,0,,3,,48,,2,,0,70,,,,,,,,,,,,17,,,,,,,,,,,,34,,,,,,,,,,26,,,,,,,,,,8,,,,,,,,,
1069,139755,1294,302,1990,Georgia Institute of Technology,1,1,GA,0,0,R1,15,15,15,Georgia Institute of Technology,Graduate School,,G,1,52,24,2,0,,3,,22,,1,,0,39,,,,,,,,,,,,13,,,,,,,,,,,,12,,,,,,,,,,9,,,,,,,,,,3,,,,,,,,,
1069,139755,1294,401,1990,Georgia Institute of Technology,1,1,GA,0,0,R1,15,15,15,Georgia Institute of Technology,Graduate School,,G,1,128,58,0,0,,15,,53,,2,,0,107,,,,,,,,,,,,21,,,,,,,,,,,,39,,,,,,,,,,35,,,,,,,,,,4,,,,,,,,,
